,neighbors,chemical_shift
34,"[['C', 2.3415751948301877, -0.00536763, 6, 2.55, 12], ['C', 1.3302415233589566, 0.150918, 6, 2.55, 12], ['C', 2.3719409767315613, 0.141457, 6, 2.55, 12], ['O', 2.895457464923231, -0.152859, 8, 3.44, 16], ['H', 2.574666731010065, 0.0661533, 1, 2.2, 1]]",279.46
35,"[['C', 2.9092465738975632, -0.022481, 6, 2.55, 12], ['C', 2.3632474334474654, 0.0569236, 6, 2.55, 12], ['C', 1.3518113388633806, 0.417487, 6, 2.55, 12], ['F', 2.1801490102236722, -0.165902, 9, 3.98, 19], ['F', 2.169273075599231, -0.165902, 9, 3.98, 19], ['H', 2.766396375370082, 0.0644889, 1, 2.2, 1]]",258.329
36,"[['C', 2.7392940012887617, -0.0486093, 6, 2.55, 12], ['C', 2.370296775949029, 0.0569236, 6, 2.55, 12], ['C', 1.3486798948920904, 0.417487, 6, 2.55, 12], ['F', 2.1801490102236722, -0.165902, 9, 3.98, 19], ['F', 2.178144361090114, -0.165902, 9, 3.98, 19], ['H', 2.3944642996532655, 0.0623489, 1, 2.2, 1]]",284.34
37,"[['C', 2.958241573591986, -0.022481, 6, 2.55, 12], ['C', 2.361321749411717, 0.0569236, 6, 2.55, 12], ['C', 1.351664536945675, 0.417487, 6, 2.55, 12], ['F', 2.169273075599231, -0.165902, 9, 3.98, 19], ['F', 2.178144361090114, -0.165902, 9, 3.98, 19], ['H', 2.867997128218118, 0.0644889, 1, 2.2, 1]]",254.739
38,"[['C', 2.3672357268848008, -0.0232628, 6, 2.55, 12], ['C', 1.3464068543511365, 0.141732, 6, 2.55, 12], ['C', 2.3785381586257093, 0.0778123, 6, 2.55, 12], ['Cl', 2.9606575750770547, -0.0805154, 17, 3.16, 35], ['H', 2.587932717239266, 0.0647146, 1, 2.2, 1]]",313.398
39,"[['C', 2.3739834796960615, 0.0747877, 6, 2.55, 12], ['C', 1.348247858872788, 0.418819, 6, 2.55, 12], ['F', 2.1741843033548234, -0.165848, 9, 3.98, 19], ['F', 2.1709752639610524, -0.165848, 9, 3.98, 19]]",264.436
40,"[['C', 2.3728769041595927, 0.0747877, 6, 2.55, 12], ['C', 1.34922387198182, 0.418819, 6, 2.55, 12], ['F', 2.1741843033548234, -0.165848, 9, 3.98, 19], ['F', 2.1708674655632314, -0.165848, 9, 3.98, 19]]",264.052
41,"[['C', 2.371526171115082, 0.0747877, 6, 2.55, 12], ['C', 2.6794360825568373, -0.0279992, 6, 2.55, 12], ['C', 1.3540871793762077, 0.418819, 6, 2.55, 12], ['F', 2.1709752639610524, -0.165848, 9, 3.98, 19], ['F', 2.1708674655632314, -0.165848, 9, 3.98, 19], ['H', 2.2717638546605197, 0.0641822, 1, 2.2, 1]]",278.381
42,"[['C', 2.35907536015424, -0.0255389, 6, 2.55, 12], ['C', 2.349540407993967, 0.00459284, 6, 2.55, 12], ['C', 1.3413820221147827, 0.125607, 6, 2.55, 12], ['H', 2.597250596938869, 0.0646331, 1, 2.2, 1], ['H', 2.6075494908325507, 0.0669159, 1, 2.2, 1]]",286.927
43,"[['C', 2.3505107013769706, -0.0123397, 6, 2.55, 12], ['C', 1.358187494572307, 0.165437, 6, 2.55, 12], ['C', 2.398684946459686, 0.155146, 6, 2.55, 12], ['O', 2.912477304201083, -0.492237, 8, 3.44, 16], ['C', 2.7016884526230642, 0.0789203, 6, 2.55, 12], ['H', 2.5730296209420813, 0.0654292, 1, 2.2, 1], ['H', 2.47348132998576, 0.0659949, 1, 2.2, 1], ['H', 2.4728726775230854, 0.0659949, 1, 2.2, 1]]",329.941
