C1=CC(=NC(=C1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D208
C1C=C2C(=CC=1C(=O)O)OC(O2)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D209
C1C=C(C(=CC=1Cl)C(=O)C(F)(F)F)N.O.Cl,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D20
C1[C@H](C1(F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D210
C(C(=O)O)C(C(=O)O)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D211
C(C(=O)O)C(C(=O)O)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D212
C1=CC=C(C=C1)C(=O)C(F)(F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D213
C(C(F)(F)F)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D214
C(C(F)(F)F)N.Cl,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D215
C1C=C(C(=C(C=1C(=O)O)F)F)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D216
N[C@@H](CC1C=CC=C(F)C=1F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D217
N[C@@H](C(=O)O)C1=CC=CC(F)=C1F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D218
C1C=C(C(=C(C=1)F)F)C=O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D219
C1=CC(=O)N(C1=O)CCN.C(=O)(C(F)(F)F)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D21
C1=CC(=C(C(=C1)F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D220
C1=CC(=C(C(=C1)F)F)C(=O)O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D221
C1=CC(=C(C(=C1C(=O)O)F)F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D222
C1=CC(=C(C(=C1C(=O)O)F)F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D223
C1=CC(=C(C(=C1C(=O)O)F)F)F,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D224
C1C(=C(N=C(N=1)Cl)Cl)F,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D226
C1C(=C(C=C(C=1N(=O)=O)Cl)Cl)C(F)(F)F,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D227
C1=C(N=C(N=C1Cl)Cl)C(F)(F)F,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D228
C1=C(C(=CC(=C1N(=O)=O)F)F)C(=O)O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D229
OC(=O)C1=CC=CN(CC2C=CC=C(C(F)(F)F)C=2)C1=O,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D22
C1=C(C(=CC(=C1N(=O)=O)F)F)C(=O)O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D230
C1=C(C(=CC(=C1N(=O)=O)F)F)C(=O)O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D231
C1C=C(C(=CC=1F)F)N,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D232
C1=CC(=C(C=C1F)F)N=C=O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D233
C1C=C(C(=CC=1F)F)CC(=O)O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D234
C1C(=C(C=C(C=1F)F)F)N(=O)=O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D235
C1C(=CC(=C(C=1F)CO)F)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D236
C1C(=CC(=C(C=1F)N(=O)=O)F)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D237
[B](F)(F)(F)F.CC1=C[C](OC(=C1)C)C,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D238
C1=CC(=C(C=C1F)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D239
C1CCC(C1)(C1C=C(C=CC=1)F)C(=O)O,Coordinates from ORCA-job raina_inp/doublemontecarlogen3D23
C1=CC(=C(C=C1F)CC(=O)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D240
C1C=C(C(=CC=1F)CC(=O)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D241
CC1=C(C(=C(C=C1)F)C(=O)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D242
CC1=C(C(=C(C=C1)F)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D243
OC(=O)C1C(F)=CC=C(C=1F)N(=O)=O,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D244
C1=CC(=C(C(=C1)F)C(=O)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D245
C1C=C(C(=C(C=1)F)CO)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D246
C1C=C(C(=C(C=1)F)N(=O)=O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D247
C1C=C(C(=C(C=1)F)N=C=S)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D248
C1=CC(=C(C(=C1)F)CC(=O)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D249
C1C[C@H](N(C1)S(=O)(=O)C1=CC=CC(=C1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D24
B1(OC(C(O1)(C)C)(C)C)C1=CC(=NC(=C1)F)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D250
CC1=C(C(=NO1)C1C(=CC=CC=1Cl)F)C(=O)O,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D251
C1C=CC(=C(C=1)CCC(=O)O)F,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D252
C1C=C(C=C(C=1)F)CCC(=O)O,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D253
OC(=O)CCC1C=CC=C(C=1)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D254
C1C=C(C(=CC=1CCC(=O)O)F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D255
C1C=C(C=CC=1C(=O)CC(=O)C(F)(F)F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D256
C1C=C(C=CC=1C(=O)CCC(=O)O)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D257
C1C=C(C=CC=1C(=O)CCC(=O)O)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D258
C1C=C(C=CC=1C(=O)CCC(=O)O)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D259
O[C@@H]1C[C@H](N(C1)C(=O)C1C=CC(F)=CC=1)C(=O)O,Coordinates from ORCA-job test_1_sl_inp/doublemontecarlogen3D25
C1C=C(C=C(C=1)F)C(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D260
C1=CC(=CC(=C1)OC(F)(F)F)N,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D261
C1=CC(=CC(=C1)OC(F)(F)F)C(=O)O,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D262
C1C=C(C=C(C=1)N)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D263
C1C=C(C=C(C=1)N)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D264
C1C=C(C=C(C=1)N)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D265
C1C=C(C=C(C=1)N)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D266
NNC(=O)C1=CC=CC(=C1)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D267
C1=CC(=CC(=C1)S(=O)(=O)N)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D268
C1=CC(=CC(=C1)S(=O)(=O)Cl)C(F)(F)F,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D269
OC(=O)[C@H]1CN(CC2=CC=C(F)C=C2)C(=O)C1,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D26
C1=CC(=CC(=C1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D270
C1=CC(=CC(=C1)C(F)(F)F)C(=O)O,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D271
NNC(=O)C1=CC=CC(=C1)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D272
C1=CC(=CC(=C1)C(F)(F)F)CO,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D273
C1C=C(C=C(C=1)C(F)(F)F)CO,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D274
C1=CC(=CC(=C1)C(F)(F)F)CCl,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D276
C1=CC(=CC(=C1)C(F)(F)F)CN,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D279
CN1C(=CN=C1SCC(=O)C1=CC=C(C=C1)F)CO,Coordinates from ORCA-job test_2_sl_inp/doublemontecarlogen3D27
O[C@@H](C(=O)O)C1=CC=CC(=C1)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D280
O[C@@H](C(=O)O)C1C=CC=C(C=1)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D281
O[C@@H](C(=O)O)C1C=CC=C(C=1)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D282
OCCC1=CC=CC(=C1)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D284
C1C=C(C=C(C=1)C(F)(F)F)CC(=O)O,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D286
B(C1C=C(C=CC=1)C(F)(F)F)(O)O,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D287
C1C=C(C=C(C=1)NN)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D288
C1C=C(C=C(C=1)NN)C(F)(F)F,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D289
OC(=O)C1(CCCCC1)C1C=CC(F)=CC=1,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D28
OC(=O)C[C@@H](C(F)(F)F)C(=O)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D290
C1=CC(=CC(=C1)SC(F)(F)F)C(=O)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D291
C1C=C(C(=CC=1C#N)N)F,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D292
C1=CC(=C(C=C1C(F)(F)F)N)S.Cl,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D293
C1=C(C=C(C=C1C(F)(F)F)N)C(=O)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D294
NC1=C(SC2=NC(=CC(=C12)C(F)(F)F)C1=CC=CC=C1)C(=O)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D295
OC(=O)C1(CCCC1)C1=CC=C(F)C=C1,Coordinates from ORCA-job test_3_sl_inp/doublemontecarlogen3D29
C1=CC(=CC(=C1)F)C[C@H](CC(=O)O)N.Cl,Coordinates from ORCA-job leia_inp/doublemontecarlogen3D2
C1C=C(C(=C(C=1F)C(=O)O)F)Cl,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D304
C1C=C(C(=CC=1C(F)(F)F)Cl)C#N,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D305
C1C=C(C(=CC=1N)Cl)F,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D306
C1C=C(C(=CC=1C(=O)O)Cl)F,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D307
C1=C(C=C(C=C1OC(F)(F)F)Cl)N,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D308
C1C(=CC(=CC=1F)Cl)C(=O)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D309
C1C=C(C(=C(C=1)N)F)C#N,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D310
C1=C(C=C(C=C1C(F)(F)F)N(=O)=O)C#N,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D311
CC(=O)C1C=C(C(=CC=1)OC)F,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D312
C1=CC(=C(C(=C1)F)N(=O)=O)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D313
C1=CC(=C(C=C1C(=O)O)F)C(F)(F)F,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D314
C1C=C(C(=CC=1CC(=O)O)F)O,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D316
COC1C(=CC(=CC=1)N)F,Coordinates from ORCA-job test_5_sl_inp/doublemontecarlogen3D317
CC1C(=CC(=CC=1)[C@@H](C(=O)O)N)F,Coordinates from ORCA-job test_5_sl_inp/doublemontecarlogen3D318
CC1=C(C=C(C=C1)C(=O)O)F,Coordinates from ORCA-job test_5_sl_inp/doublemontecarlogen3D319
C1CCN(C1)[C](N1CCCC1)Cl.F[P](F)(F)(F)(F)F,Coordinates from ORCA-job test_4_sl_inp/doublemontecarlogen3D31
C1COCCN1C1C(=CC(=CC=1)N)F,Coordinates from ORCA-job test_5_sl_inp/doublemontecarlogen3D320
C1=CC(=C(C=C1C(=O)O)F)N(=O)=O,Coordinates from ORCA-job test_5_sl_inp/doublemontecarlogen3D321
C1=CC(=C(C=C1C#N)F)N(=O)=O,Coordinates from ORCA-job test_5_sl_inp/doublemontecarlogen3D322
