,neighbors,chemical_shift
106,"[['C', 1.332447095434143, 0.193465, 6, 2.55, 12]]",335.937
107,"[['C', 1.33769987280127, 0.163422, 6, 2.55, 12]]",316.218
108,"[['C', 1.3482101318924138, 0.43599, 6, 2.55, 12]]",264.705
109,"[['C', 1.3522564406150837, 0.43599, 6, 2.55, 12]]",256.944
110,"[['C', 1.3543224671825649, 0.43599, 6, 2.55, 12]]",276.986
111,"[['C', 1.3537018195617654, 0.417478, 6, 2.55, 12]]",271.717
112,"[['C', 1.3513990081392064, 0.417478, 6, 2.55, 12]]",278.659
113,"[['C', 1.3553160632394363, 0.417478, 6, 2.55, 12]]",250.786
114,"[['C', 1.351831013534206, 0.123421, 6, 2.55, 12]]",300.06
115,"[['C', 1.3496235689272518, 0.123439, 6, 2.55, 12]]",296.626
116,"[['C', 1.3524719443360695, 0.417442, 6, 2.55, 12]]",261.009
117,"[['C', 1.3470440149465823, 0.417442, 6, 2.55, 12]]",283.77
118,"[['C', 1.3529305561253109, 0.417442, 6, 2.55, 12]]",253.606
119,"[['C', 1.3425167708424481, 0.123441, 6, 2.55, 12]]",281.255
120,"[['C', 1.3470468200188146, 0.12342, 6, 2.55, 12]]",294.966
121,"[['C', 1.3473689010673366, 0.123422, 6, 2.55, 12]]",293.943
122,"[['C', 1.350575694307056, 0.575248, 6, 2.55, 12]]",258.159
123,"[['C', 1.3492457591836389, 0.575248, 6, 2.55, 12]]",261.781
124,"[['C', 1.3334160703390805, 0.575248, 6, 2.55, 12]]",259.936
125,"[['C', 1.3320310884852111, 0.575247, 6, 2.55, 12]]",259.937
126,"[['C', 1.353085693420394, 0.575247, 6, 2.55, 12]]",251.367
127,"[['C', 1.3446438312709568, 0.575247, 6, 2.55, 12]]",264.353
128,"[['C', 1.3467575439788682, 0.129808, 6, 2.55, 12]]",293.882
129,"[['C', 1.3693894575006131, 0.129808, 6, 2.55, 12], ['H', 1.9275084515576086, 0.295061, 1, 2.2, 1]]",309.345
130,"[['B', 1.4408284194487433, 0.0, 5, 2.04, 11], ['H', 1.897536617375201, 0.0, 1, 2.2, 1]]",335.31
131,"[['B', 1.3676094700137527, 0.0, 5, 2.04, 11]]",351.972
132,"[['B', 1.4116660241177186, 0.0, 5, 2.04, 11]]",350.876
133,"[['B', 1.429464631901639, 0.0, 5, 2.04, 11]]",347.501
134,"[['C', 1.3490924844694268, 0.126239, 6, 2.55, 12]]",301.635
135,"[['C', 1.3581884156956618, 0.147207, 6, 2.55, 12]]",322.809
136,"[['C', 1.355064753773175, 0.123517, 6, 2.55, 12]]",313.725
137,"[['C', 1.339861094203861, 0.125607, 6, 2.55, 12]]",286.511
138,"[['C', 1.3503750174818983, 0.126864, 6, 2.55, 12]]",296.957
139,"[['C', 1.3538339535429003, 0.417423, 6, 2.55, 12]]",255.402
140,"[['C', 1.3538934682353485, 0.417423, 6, 2.55, 12]]",255.616
141,"[['C', 1.3501432196327479, 0.417423, 6, 2.55, 12]]",284.298
142,"[['C', 1.3464635583673117, 0.123427, 6, 2.55, 12]]",291.225
143,"[['C', 1.3482775939296834, 0.434278, 6, 2.55, 12]]",264.957
144,"[['C', 1.3535312621265445, 0.434278, 6, 2.55, 12]]",284.461
145,"[['C', 1.3476767153084406, 0.434278, 6, 2.55, 12]]",264.877
146,"[['C', 1.3482775939296834, 0.434278, 6, 2.55, 12]]",264.957
147,"[['C', 1.3535312621265445, 0.434278, 6, 2.55, 12]]",284.461
148,"[['C', 1.3476767153084406, 0.434278, 6, 2.55, 12]]",264.877
149,"[['C', 1.3424983564595383, 0.123442, 6, 2.55, 12]]",281.331
150,"[['C', 1.3521344612197892, 0.125142, 6, 2.55, 12]]",298.028
151,"[['C', 1.343116677211721, 0.123977, 6, 2.55, 12]]",288.038
152,"[['C', 1.3415597085274904, 0.418269, 6, 2.55, 12]]",251.633
153,"[['C', 1.3545852038625985, 0.418269, 6, 2.55, 12]]",274.545
